Year,Berkeley,Los Angeles,Santa Barbara,San Diego,Irvine,Davis,Santa Cruz,Riverside,Merced
1994,3.978847826,3.916486989,3.601669267,3.870875657,3.706353591,3.787902946,3.568697395,3.565271868,
1995,3.977069672,3.943589744,3.606555891,3.928024691,3.709315789,3.795123967,3.546104869,3.555141509,
1996,3.994095427,3.981648746,3.617001477,3.962654545,3.750497238,3.806084906,3.555557621,3.594421296,
1997,4.011894273,4.020797101,3.67317716,3.96533107,3.789652651,3.820651828,3.580619469,3.571056034,
1998,4.084551724,4.058788427,3.753357349,3.995583333,3.80122314,3.839346812,3.603772358,3.600453649,
1999,4.100536481,4.093357934,3.813352113,4.056337115,3.822593193,3.853944954,3.644127517,3.620133136,
2000,4.122782258,4.09151463,3.881692913,4.074624809,3.83377916,3.848280166,3.653190349,3.619191074,
2001,4.118098859,4.082415541,3.868349515,4.057555866,3.845895722,3.850314548,3.655290482,3.565732984,
2002,4.141869328,4.075753425,3.844588235,4.032324967,3.849451697,3.849843342,3.622708333,3.582616352,
2003,4.155669725,4.087214533,3.847523041,4.060316623,3.89125641,3.862954839,3.634613333,3.576781065,
2004,4.153113208,4.086605839,3.879158249,4.06075,3.91748062,3.903131579,3.720909091,3.582449568,
2005,4.165034722,4.106146179,3.896440678,4.061282383,3.900150188,3.884225352,3.687761194,3.584875312,3.547127371
2006,4.1640625,4.116548957,3.877974138,4.041869723,3.891985646,3.83855792,3.674611529,3.562973621,3.545741497
2007,4.165016667,4.132683706,3.884149512,4.06146312,3.92450116,3.883581395,3.651473684,3.546078431,3.541123457
2008,4.164947735,4.144854227,3.920232323,4.068762136,3.940428571,3.930410367,3.685783972,3.549934354,3.520689655
2009,4.174222973,4.159886364,3.906463415,4.090125786,3.998803828,3.990311159,3.748458781,3.629057751,3.548343949
2010,4.175518453,4.162514793,3.984310345,4.090454545,4.011563594,4.007532609,3.764182927,3.636028369,3.564291581
2011,4.162528926,4.133387909,3.978028037,4.093708108,3.970120724,4.014941176,3.748235294,3.670147239,3.538699495
2012,4.181137521,4.146911765,3.968363803,4.0867357,4.020950049,4.044315684,3.777148718,3.701508728,3.570661376
2013,4.194327869,4.175509259,4.012726415,4.120214352,4.03796332,4.078430799,3.853493724,3.737050805,3.597026648
2014,4.187248,4.17811086,4.028837209,4.138876611,4.052188962,4.075475113,3.84047025,3.782481928,3.63201581
2015,4.208616262,4.187387283,4.05523135,4.143792185,4.057119377,4.088426349,3.904964611,3.807227603,3.673146214
2016,4.200533708,4.189514851,4.050340136,4.119698751,4.063558233,4.064444444,3.8725,3.761376598,3.626380753
2017,4.212860825,4.202450331,4.085139803,4.13698893,4.105004177,4.072610909,3.911721235,3.819138298,3.658590814
2018,4.216554622,4.211121495,4.101106095,4.140471204,4.113629104,4.083485054,3.944939535,3.880181237,3.711382353
2019,4.211774194,4.228489583,4.130466516,4.134945799,4.10241506,4.112914326,3.941710744,3.890719844,3.714075875
2020,4.196992925,4.22225058,4.112506649,4.136638605,4.097083333,4.07322601,3.902983465,3.865648232,3.678923767
2021,4.195734807,4.24453584,4.163503356,4.156012692,4.100515614,4.0526313,3.962239102,3.887617021,3.669409722